experiment,experiment_dir,model,category,gpu_name,auroc,aupr,f1,mean_latency_ms,_report_mtime_ns,_report_size
coldstart_csflow_real_iad_woodstick,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_woodstick,csflow,woodstick,Tesla T4,0.744239885348914,0.8805225676169193,0.5542168674698795,140.2924954858873,1779134003210064100,2539
coldstart_csflow_real_iad_zipper,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_csflow_real_iad_zipper,csflow,zipper,Tesla T4,0.744239885348914,0.8805225676169193,0.5542168674698795,139.73747329577057,1779134003081132300,2535
coldstart_draem_real_iad_audiojack,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_draem_real_iad_audiojack,draem,audiojack,NVIDIA A100-SXM4-80GB,0.6434742085166515,0.8160373716890218,0.0779220779220779,29.828635630986057,1779130045145049000,2553
coldstart_draem_real_iad_bottle_cap,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_draem_real_iad_bottle_cap,draem,bottle_cap,NVIDIA A100-SXM4-80GB,0.2831508887801696,0.6329639723261397,0.0679245283018867,29.85286183641573,1779130044515525000,2573
coldstart_draem_real_iad_button_battery,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_draem_real_iad_button_battery,draem,button_battery,NVIDIA A100-SXM4-80GB,0.4376235321474246,0.7044731746456878,0.0933572710951525,29.84360192428768,1779130044608525900,2567
coldstart_draem_real_iad_end_cap,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_draem_real_iad_end_cap,draem,end_cap,NVIDIA A100-SXM4-80GB,0.4642540152155537,0.760745248984146,0.0377358490566037,29.85963805413216,1779130045177748000,2552
coldstart_draem_real_iad_eraser,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_draem_real_iad_eraser,draem,eraser,NVIDIA A100-SXM4-80GB,0.568757997440819,0.8003628534597911,0.0450281425891182,29.79831390883963,1779130044863494100,2544
coldstart_draem_real_iad_fire_hood,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_draem_real_iad_fire_hood,draem,fire_hood,NVIDIA A100-SXM4-80GB,0.7634150675195451,0.8818753589686767,0.0235294117647058,29.85062957872194,1779130044673170100,2551
coldstart_draem_real_iad_mint,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_draem_real_iad_mint,draem,mint,NVIDIA A100-SXM4-80GB,0.47629258030585,0.9609740154496492,0.0716180371352785,29.808913366623297,1779130045011564400,2544
coldstart_draem_real_iad_mounts,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_draem_real_iad_mounts,draem,mounts,NVIDIA A100-SXM4-80GB,0.6128342298577033,0.8161686909613188,0.1482820976491862,29.84457746197129,1779130045060442500,2562
coldstart_draem_real_iad_pcb,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_draem_real_iad_pcb,draem,pcb,NVIDIA A100-SXM4-80GB,0.40587558659161,0.6759387401557475,0.0343511450381679,29.808857733615227,1779130045594908700,2540
coldstart_draem_real_iad_phone_battery,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_draem_real_iad_phone_battery,draem,phone_battery,NVIDIA A100-SXM4-80GB,0.2857278751942163,0.7153719526253175,0.2338983050847458,29.842727568570485,1779130046068153600,2579
coldstart_draem_real_iad_plastic_nut,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_draem_real_iad_plastic_nut,draem,plastic_nut,NVIDIA A100-SXM4-80GB,0.4437178217821782,0.6898790581509006,0.0614203454894433,29.80972219088398,1779130045690375400,2558
coldstart_draem_real_iad_plastic_plug,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_draem_real_iad_plastic_plug,draem,plastic_plug,NVIDIA A100-SXM4-80GB,0.5078346829319591,0.8132967138642191,0.0855018587360594,29.81641539342057,1779130045974141200,2573
coldstart_draem_real_iad_porcelain_doll,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_draem_real_iad_porcelain_doll,draem,porcelain_doll,NVIDIA A100-SXM4-80GB,0.6562661846931117,0.8598891810541338,0.0780669144981412,29.82271647286065,1779130045881878700,2562
coldstart_draem_real_iad_regulator,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_draem_real_iad_regulator,draem,regulator,NVIDIA A100-SXM4-80GB,0.5166221603003212,0.7414157696394524,0.0301318267419962,29.85876769861496,1779130045216162100,2568
coldstart_draem_real_iad_rolled_strip_base,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_draem_real_iad_rolled_strip_base,draem,rolled_strip_base,NVIDIA A100-SXM4-80GB,0.4136857937285402,0.6824439519550252,0.0268199233716475,29.81279271689281,1779130044940456000,2584
coldstart_draem_real_iad_sim_card_set,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_draem_real_iad_sim_card_set,draem,sim_card_set,NVIDIA A100-SXM4-80GB,0.0595720989421776,0.5470885895842996,0.0271844660194174,29.800973889509947,1779130045113439500,2562
coldstart_draem_real_iad_switch,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_draem_real_iad_switch,draem,switch,NVIDIA A100-SXM4-80GB,0.6676469996782497,0.8396770905657107,0.0920810313075506,29.804030036625527,1779130044556300300,2547
coldstart_draem_real_iad_tape,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_draem_real_iad_tape,draem,tape,NVIDIA A100-SXM4-80GB,0.6753317307692308,0.8456513038742783,0.1359570661896243,29.8557875486242,1779130045395278100,2559
coldstart_draem_real_iad_terminalblock,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_draem_real_iad_terminalblock,draem,terminalblock,NVIDIA A100-SXM4-80GB,0.4701383421437408,0.7295000456466774,0.0299625468164794,29.792042870420914,1779130044634231000,2579
coldstart_draem_real_iad_toothbrush,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_draem_real_iad_toothbrush,draem,toothbrush,NVIDIA A100-SXM4-80GB,0.7632791832010581,0.906104299476472,0.4597014925373134,29.80925836234191,1779130045287725400,2563
coldstart_draem_real_iad_toy,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_draem_real_iad_toy,draem,toy,NVIDIA A100-SXM4-80GB,0.5628041392734424,0.775734884260557,0.0078431372549019,29.84748686100204,1779130044727167700,2541
