experiment,experiment_dir,model,category,gpu_name,auroc,aupr,global_auroc,precision,recall,f1,accuracy,mean_latency_ms,throughput_fps,threshold_value,warmup_frames,calibration_frames,streaming_frames,mean_score_ok,mean_score_ng,_report_mtime_ns,_report_size,_frames_mtime_ns,_frames_size
coldstart_padim_real_iad_porcelain_doll,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_porcelain_doll,padim,porcelain_doll,NVIDIA L4,0.4427075075836847,0.7252843408361095,0.4314508883745019,0.7142857142857143,0.0096711798839458,0.0190839694656488,0.2657142857142857,3.5023949285810625,30.66903164028465,183.9019012451172,200,100,700,76.29039994745307,73.50263906954797,1779123335964320800,2573,1779123335949219400,224310
coldstart_padim_real_iad_regulator,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_regulator,padim,regulator,NVIDIA L4,0.7990731065443709,0.9160447713072892,0.7982942451333256,0.975177304964539,0.5268199233716475,0.6840796019900497,0.6472222222222223,3.546835251380445,31.432805387043047,75.6427001953125,200,100,720,37.02577304840088,73.99778854983977,1779123337094384000,2558,1779123337111141600,223344
coldstart_padim_real_iad_rolled_strip_base,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_rolled_strip_base,padim,rolled_strip_base,NVIDIA L4,0.971245089599351,0.9873074639614818,0.9485706652417848,0.9894179894179894,0.7290448343079922,0.8395061728395061,0.7985915492957747,3.5509561957778586,27.23853226729081,89.30448150634766,200,100,710,51.416243170723696,113.2939273767304,1779123341520972600,2578,1779123341419015300,229750
coldstart_padim_real_iad_sim_card_set,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_sim_card_set,padim,sim_card_set,NVIDIA L4,0.8693529786049471,0.9176513045681524,0.8477889127495427,0.9090909090909092,0.0196850393700787,0.0385356454720616,0.2932011331444759,3.505296898012046,26.907587357569422,180.2628936767578,200,100,706,55.202438123298414,95.26276564410352,1779123336722576400,2569,1779123336702912500,223727
coldstart_padim_real_iad_switch,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_switch,padim,switch,NVIDIA L4,0.8008868243243243,0.9067308980041022,0.7969604649292149,1.0,0.0154440154440154,0.0304182509505703,0.2816901408450704,3.5624581436576603,32.19546331935222,167.9703369140625,200,100,710,41.353663474321365,73.37350247725557,1779123341339241100,2541,1779123341318892500,218645
coldstart_padim_real_iad_tape,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_tape,padim,tape,NVIDIA L4,0.7828942307692307,0.8851291386971658,0.7755336538461538,1.0,0.0403846153846153,0.077634011090573,0.3069444444444444,3.525439854171787,34.38962625224034,152.2131805419922,200,100,720,43.15274264812469,78.54564770918626,1779123339317155300,2536,1779123339335366100,218875
coldstart_padim_real_iad_terminalblock,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_terminalblock,padim,terminalblock,NVIDIA L4,0.5230519115346468,0.7852017760870791,0.4933129518103087,0.9264705882352942,0.1204588910133843,0.2131979695431472,0.3450704225352112,3.550002280287796,32.90490211064544,126.42865753173828,200,100,710,92.59332146874088,94.63725296808246,1779123339954234800,2571,1779123340006896700,226394
coldstart_padim_real_iad_toothbrush,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_toothbrush,padim,toothbrush,NVIDIA L4,0.3929811507936508,0.7012374730909647,0.4527064732142857,0.8846153846153846,0.044921875,0.0855018587360594,0.2981455064194008,3.574779231097476,30.61331178065351,185.779052734375,200,100,701,135.60275833695025,121.7943882867694,1779123339391479400,2555,1779123339379473600,219999
coldstart_padim_real_iad_toy,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_toy,padim,toy,NVIDIA L4,0.6146344370071702,0.7963893045758297,0.5304884104316047,0.8863636363636364,0.0770750988142292,0.1418181818181818,0.3304964539007092,3.5595922482190474,32.17733686793742,126.32823944091795,200,100,705,99.09116104739395,107.47330057196938,1779123340044155200,2550,1779123340057916800,215352
coldstart_padim_real_iad_toy_brick,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_toy_brick,padim,toy_brick,NVIDIA L4,0.7290876825038316,0.8527785928131282,0.7023977575219811,0.9117647058823528,0.0612648221343873,0.1148148148148148,0.3190883190883191,3.520771283490214,27.85159418297372,259.94488525390625,200,100,702,92.58419092334049,142.87968215640825,1779123335741259500,2562,1779123335762811800,220592
coldstart_padim_real_iad_transistor1,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_transistor1,padim,transistor1,NVIDIA L4,0.6220141082439373,0.8491821898544669,0.5398673946170691,1.0,0.0715705765407554,0.1335807050092764,0.3328571428571428,3.507602982863968,31.98721609961546,215.9686889648437,200,100,700,107.82928885058098,129.62800022906384,1779123334928423800,2552,1779123334910774700,222159
coldstart_padim_real_iad_u_block,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_u_block,padim,u_block,NVIDIA L4,0.5571545100250753,0.7644909908618887,0.5500951652047814,0.8928571428571429,0.0501002004008016,0.0948766603415559,0.3166189111747851,3.6033563381034064,30.202714316162105,129.9958038330078,200,100,698,87.87643603224251,91.37185732013954,1779123341743538600,2558,1779123341731052000,216787
coldstart_padim_real_iad_usb,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_usb,padim,usb,NVIDIA L4,0.2153314028314028,0.6287142313072087,0.2362250643500643,0.9375,0.0289575289575289,0.0561797752808988,0.2901408450704225,3.5307015535053465,32.57143663879004,223.24313354492188,200,100,710,106.42832823594412,68.90989353665974,1779123341162770800,2542,1779123341150137800,216331
coldstart_padim_real_iad_usb_adaptor,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_usb_adaptor,padim,usb_adaptor,NVIDIA L4,0.7905732162911691,0.892994188878802,0.7682038000504229,0.967741935483871,0.055350553505535,0.1047120418848167,0.2702702702702703,3.720016095306153,25.20911057086744,137.5087432861328,200,100,703,46.19660039866193,67.15195913420392,1779123339539183100,2565,1779123339495226000,222128
coldstart_padim_real_iad_vcpill,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_vcpill,padim,vcpill,NVIDIA L4,0.6627920629329576,0.7870793511103396,0.6349164416265508,0.8947368421052632,0.0339321357285429,0.0653846153846153,0.3106382978723404,3.553960120569573,29.26462987143219,131.56558227539062,200,100,705,69.17054988823685,80.1244562571634,1779123338620628400,2560,1779123338638936300,218092
